"state","year","median.house.price","upper.house.price","divorce.percent","separate.percent","highschool.percent","bachelor.percent","median.income","mean.income"
"Rhode Island",2007,"292800","396700","10.6","1.7","83","29.8","53568","70208"
"Rhode Island",2008,"286000","393700","11.0","2.2","83.7","30","55701","72678"
"Rhode Island",2009,"267100","368700","10.4","2.0","84.7","30.5","54119","71442"
"Rhode Island",2010,"254500","360800","11.7","2.0","83.5","30.2","52254","69840"
"Rhode Island",2011,"245500","350700","11.4","1.9","84.8","31.1","53636","72229"
"Rhode Island",2012,"234600","332600","11.5","1.8","86.1","31.4","54554","72656"
"Rhode Island",2013,"232300","341800","11.1","1.9","85.9","32.4","55902","76820"
"Rhode Island",2014,"236000","342300","11.4","1.8","85.8","30.4","54891","77146"
"Rhode Island",2015,"241000","353700","11.5","1.8","87.7","32.7","58073","78295"
"South Carolina",2006,"122400","197900","9.9","3.6","81.3","22.7","41100","55128"
"South Carolina",2007,"133900","218800","10.0","3.5","82.1","23.5","43329","58011"
"South Carolina",2008,"138700","235000","10.1","3.2","83.2","23.7","44625","59942"
"South Carolina",2009,"137500","228500","10.0","3.2","83.6","24.3","42442","57062"
"South Carolina",2010,"138100","227500","10.4","3.5","84.1","24.5","42018","56365"
"South Carolina",2011,"136000","225300","10.1","3.6","84.2","24.1","42367","57552"
"South Carolina",2012,"135500","221100","10.7","3.4","84.9","25.1","43107","59042"
"South Carolina",2013,"139200","226900","10.8","3.4","85.6","26.1","44163","59927"
"South Carolina",2014,"140000","230900","11.1","3.2","86.1","26.3","45238","61903"
"South Carolina",2015,"148600","242400","11.0","3.2","86.3","26.8","47238","64352"
"South Dakota",2006,"112600","169500","9.3","1.0","88.3","24.8","42791","54460"
"South Dakota",2007,"118700","180200","9.9","1.0","88.2","25","43424","54972"
"South Dakota",2008,"126200","190800","10.3","1.1","90.3","25.1","46032","60081"
"South Dakota",2009,"126200","191000","10.6","1.6","89.9","25.1","45043","58664"
"South Dakota",2010,"129700","193000","10.8","0.9","89.6","26.3","45904","59391"
"South Dakota",2011,"131400","197100","10.5","1.1","90.6","26.3","48321","61224"
"South Dakota",2012,"134300","209000","11.0","1.3","90.5","26.3","48362","62807"
"South Dakota",2013,"138400","209400","11.1","1.0","91.6","26.6","48947","64346"
"South Dakota",2014,"142300","219000","10.4","1.1","91.7","27.8","50979","66580"
"South Dakota",2015,"152800","234200","10.4","1.2","91.1","27.5","53017","68723"
"Tennessee",2006,"123100","189100","12.6","2.4","80.9","21.7","40315","54669"
"Tennessee",2007,"130800","200000","12.7","2.3","81.4","21.8","42367","58164"
"Tennessee",2008,"138600","218600","12.5","2.2","83","22.9","43614","59975"
"Tennessee",2009,"137300","215400","12.5","2.5","83.1","23","41725","56790"
"Tennessee",2010,"139000","219100","12.7","2.4","83.6","23.1","41461","56835"
"Tennessee",2011,"138300","217200","13.1","2.3","84.2","23.6","41693","58400"
"Tennessee",2012,"137800","218000","13.0","2.3","85.1","24.3","42764","59547"
"Tennessee",2013,"140300","222100","12.7","2.3","85.6","24.8","44297","62157"
"Tennessee",2014,"142900","227900","12.6","2.4","85.8","25.3","44361","62734"
"Tennessee",2015,"150600","238700","12.8","2.2","86.1","25.7","47275","66009"
"Texas",2006,"114000","174500","10.7","2.9","78.6","24.7","44922","62421"
"Texas",2007,"120900","186500","10.6","2.7","79.1","25.2","47548","66392"
"Texas",2008,"126800","197500","10.7","2.7","79.6","25.3","50043","69324"
"Texas",2009,"125800","199000","10.7","2.8","79.9","25.5","48259","67134"
"Texas",2010,"128100","201000","11.0","2.8","80.7","25.9","48615","66756"
"Texas",2011,"127700","202700","11.0","2.7","81.1","26.4","49392","68936"
"Texas",2012,"129200","205900","11.0","2.8","81.4","26.7","50740","70730"
"Texas",2013,"132000","216300","10.8","2.7","81.9","27.5","51704","73422"
"Texas",2014,"139600","229700","10.9","2.6","82.2","27.8","53035","75557"
"Texas",2015,"152000","249800","10.8","2.5","82.4","28.4","55653","78862"
"Utah",2006,"188500","279500","8.9","1.3","90.2","28.6","51309","63807"
"Utah",2007,"218700","328800","9.0","1.2","90.2","28.7","55109","69014"
"Utah",2008,"236000","342300","9.4","1.3","90.4","29.1","56633","71271"
"Utah",2009,"224700","315500","9.2","1.5","90.4","28.5","55117","69025"
"Utah",2010,"217200","299300","8.8","1.4","90.6","29.3","54744","68176"
"Utah",2011,"207500","293900","9.4","1.6","90.3","29.7","55869","69550"
"Utah",2012,"199700","287300","9.5","1.7","91.0","30.7","57049","71875"
"Utah",2013,"211400","300900","9.4","1.6","91.5","31.3","59770","75223"
"Utah",2014,"223200","323400","9.1","1.5","91.4","31.1","60922","77413"
"Utah",2015,"234600","338900","9.4","1.6","91.5","31.8","62912","79860"
"Vermont",2006,"193000","279700","12.0","1.6","89.8","32.4","47665","60060"
"Vermont",2007,"205400","296800","12.1","1.4","90.3","33.6","49907","63922"
"Vermont",2008,"214700","300200","12.6","1.3","90.6","32.1","52104","66463"
"Vermont",2009,"216300","303100","11.6","1.2","91","33.1","51618","64907"
"Vermont",2010,"216800","308700","11.9","1.3","91.0","33.6","49406","63768"
"Vermont",2011,"213700","300600","12.0","1.1","91.8","35.4","52776","67201"
"Vermont",2012,"216900","298900","12.1","1.4","91.7","35.8","52977","68644"
"Vermont",2013,"218300","313000","12.4","1.3","91.5","35.7","52578","69770"
"Vermont",2014,"214600","305900","12.3","1.2","92.0","34.9","54166","69973"
"Vermont",2015,"223700","322800","12.8","1.0","91.7","36.9","56990","74502"
"Virginia",2006,"244200","452200","9.7","2.8","85.4","32.7","56277","75764"
"Virginia",2007,"262100","459800","9.5","2.6","85.9","33.6","59562","79711"
"Virginia",2008,"269600","438800","9.6","2.6","85.9","33.7","61233","82962"
"Virginia",2009,"252600","402700","9.6","2.7","86.6","34","59330","80389"
"Virginia",2010,"249100","396700","10.0","2.6","86.5","34.2","60674","81608"
"Virginia",2011,"243100","387200","10.1","2.6","87.8","35.1","61882","84041"
"Virginia",2012,"237800","387900","10.2","2.4","87.9","35.5","61741","84641"
"Virginia",2013,"239300","394800","10.2","2.6","88.4","36.1","62666","86618"
"Virginia",2014,"247800","411200","10.1","2.4","88.5","36.7","64902","88457"
"Virginia",2015,"257800","424300","10.5","2.5","88.9","37","66262","90556"
"Washington",2006,"267600","405700","12.3","1.7","89","30.5","52583","68557"
"Washington",2007,"300800","451900","12.1","1.7","89.3","30.3","55591","72751"
"Washington",2008,"308100","460700","12.5","1.6","89.6","30.7","58078","75450"
"Washington",2009,"287200","426300","12.1","1.8","89.7","31","56548","73080"
"Washington",2010,"271800","398000","11.9","1.8","89.8","31.1","55631","71739"
"Washington",2011,"256300","382100","12.4","1.7","90.1","31.9","56835","74186"
"Washington",2012,"243000","371500","12.3","1.7","90.4","31.7","57573","75819"
"Washington",2013,"250800","383500","12.2","1.7","90.1","32.7","58405","78093"
"Washington",2014,"266200","400000","12.0","1.6","90.4","33.1","61366","81218"
"Washington",2015,"284000","437500","12.1","1.5","90.8","34.2","64129","85653"
"West Virginia",2006,"89700","147600","11.5","1.4","81","16.5","35059","46402"
"West Virginia",2007,"96000","161800","11.6","1.6","81.2","17.3","37060","49060"
"West Virginia",2008,"95900","167100","12.1","1.8","82.2","17.1","37989","50166"
"West Virginia",2009,"94500","163500","12.1","1.7","82.8","17.3","37435","50674"
"West Virginia",2010,"95100","167100","12.9","1.6","83.2","17.5","38218","50574"
"West Virginia",2011,"99300","168100","12.9","2.0","84.2","18.5","38482","53269"
"West Virginia",2012,"100400","168500","13.3","1.5","84.5","18.6","40196","53889"
"West Virginia",2013,"103200","170800","13.2","1.6","84.6","18.9","41253","55787"
"West Virginia",2014,"103900","171500","13.3","1.7","85.2","19.2","41059","54877"
"West Virginia",2015,"112100","182000","14.0","1.6","86","19.6","42019","56568"
"Wisconsin",2006,"163500","234800","9.8","1.2","88.4","25.1","48772","60859"
"Wisconsin",2007,"168800","240500","10.0","1.2","89","25.4","50578","63726"
"Wisconsin",2008,"173300","251800","10.0","1.1","89.6","25.7","52094","65937"
"Wisconsin",2009,"170800","248900","10.0","1.1","89.8","25.7","49993","63595"
"Wisconsin",2010,"169400","247400","10.8","1.1","90.1","26.3","49001","62376"
"Wisconsin",2011,"166700","242700","10.5","1.2","90.4","26.5","50395","64439"
"Wisconsin",2012,"165200","240100","11.0","1.2","90.7","27.1","51059","66021"
"Wisconsin",2013,"163000","241000","10.7","1.0","90.9","27.7","51467","67292"
"Wisconsin",2014,"164700","244900","11.0","1.1","91.4","28.4","52622","68953"
"Wisconsin",2015,"168300","250900","10.7","1.1","91.4","28.4","55638","72099"
"Wyoming",2006,"148900","220700","13.2","1.3","90.2","22.7","47423","59583"
"Wyoming",2007,"172300","249300","13.0","1.5","91.2","23.4","51731","67721"
"Wyoming",2008,"188200","279800","12.6","1.3","91.7","23.6","53207","69976"
"Wyoming",2009,"184000","268000","11.6","1.1","91.8","23.8","52664","65931"
"Wyoming",2010,"180100","260600","12.4","1.6","92.3","24.1","53512","66710"
"Wyoming",2011,"179900","256700","12.9","1.3","92.0","24.7","56322","68886"
"Wyoming",2012,"187400","279200","12.8","1.8","91.7","24.7","54901","68218"
"Wyoming",2013,"195500","286400","12.1","1.8","93.5","26.6","58752","71780"
"Wyoming",2014,"201000","289900","14.0","1.3","92.6","26.6","57055","72305"
"Wyoming",2015,"212500","294700","12.1","1.4","92.2","26.2","60214","76934"
